cow,frear,rear,fpar,par1,par24,par56,ll,ul,censor
40,front,0,2-4,0,1,0,100,,0
41,rear,1,2-4,0,1,0,61,92,1
41,front,0,2-4,0,1,0,61,92,1
41,rear,1,2-4,0,1,0,31,61,1
41,front,0,2-4,0,1,0,61,92,1
42,rear,1,1,1,0,0,,41,1
42,front,0,1,1,0,0,41,72,1
42,rear,1,1,1,0,0,,41,1
42,front,0,1,1,0,0,266,315,1
43,rear,1,2-4,0,1,0,34,71,1
43,front,0,2-4,0,1,0,34,71,1
43,rear,1,2-4,0,1,0,99,130,1
43,front,0,2-4,0,1,0,34,71,1
44,rear,1,1,1,0,0,277,,0
44,front,0,1,1,0,0,277,,0
44,rear,1,1,1,0,0,277,,0
44,front,0,1,1,0,0,118,147,1
45,rear,1,2-4,0,1,0,50,81,1
45,front,0,2-4,0,1,0,50,81,1
45,rear,1,2-4,0,1,0,50,81,1
45,front,0,2-4,0,1,0,50,81,1
46,rear,1,2-4,0,1,0,43,74,1
46,front,0,2-4,0,1,0,74,103,1
46,rear,1,2-4,0,1,0,43,74,1
46,front,0,2-4,0,1,0,43,74,1
47,rear,1,1,1,0,0,52,83,1
47,front,0,1,1,0,0,22,52,1
47,rear,1,1,1,0,0,22,52,1
47,front,0,1,1,0,0,22,52,1
48,rear,1,2-4,0,1,0,234,276,1
48,front,0,2-4,0,1,0,276,304,1
48,rear,1,2-4,0,1,0,179,207,1
48,front,0,2-4,0,1,0,234,276,1
49,rear,1,1,1,0,0,21,50,1
49,front,0,1,1,0,0,21,50,1
49,rear,1,1,1,0,0,21,50,1
49,front,0,1,1,0,0,21,50,1
50,rear,1,>4,0,0,1,81,112,1
50,front,0,>4,0,0,1,81,112,1
50,rear,1,>4,0,0,1,81,112,1
50,front,0,>4,0,0,1,81,112,1
51,rear,1,2-4,0,1,0,130,165,1
51,front,0,2-4,0,1,0,165,222,1
51,rear,1,2-4,0,1,0,101,130,1
51,front,0,2-4,0,1,0,74,101,1
52,rear,1,1,1,0,0,193,252,1
52,front,0,1,1,0,0,193,252,1
52,rear,1,1,1,0,0,,50,1
52,front,0,1,1,0,0,193,252,1
53,rear,1,1,1,0,0,287,,0
53,front,0,1,1,0,0,287,,0
53,rear,1,1,1,0,0,20,50,1
53,front,0,1,1,0,0,287,,0
54,rear,1,1,1,0,0,33,76,1
54,front,0,1,1,0,0,33,76,1
54,rear,1,1,1,0,0,76,,0
54,front,0,1,1,0,0,76,,0
55,rear,1,2-4,0,1,0,111,139,1
55,front,0,2-4,0,1,0,111,139,1
55,rear,1,2-4,0,1,0,21,87,1
55,front,0,2-4,0,1,0,139,178,1
56,rear,1,>4,0,0,1,31,62,1
56,front,0,>4,0,0,1,31,62,1
56,rear,1,>4,0,0,1,31,62,1
56,front,0,>4,0,0,1,31,62,1
57,rear,1,1,1,0,0,329,,0
57,front,0,1,1,0,0,329,,0
57,rear,1,1,1,0,0,329,,0
57,front,0,1,1,0,0,329,,0
58,rear,1,>4,0,0,1,133,169,1
58,front,0,>4,0,0,1,169,201,1
58,rear,1,>4,0,0,1,133,169,1
58,front,0,>4,0,0,1,169,201,1
59,rear,1,1,1,0,0,71,95,1
59,front,0,1,1,0,0,42,71,1
59,rear,1,1,1,0,0,95,154,1
59,front,0,1,1,0,0,238,280,1
60,rear,1,>4,0,0,1,,36,1
60,front,0,>4,0,0,1,36,65,1
60,rear,1,>4,0,0,1,36,65,1
60,front,0,>4,0,0,1,,36,1
61,rear,1,>4,0,0,1,45,74,1
61,front,0,>4,0,0,1,45,74,1
61,rear,1,>4,0,0,1,45,74,1
61,front,0,>4,0,0,1,45,74,1
62,rear,1,1,1,0,0,35,64,1
62,front,0,1,1,0,0,35,64,1
62,rear,1,1,1,0,0,35,64,1
62,front,0,1,1,0,0,35,64,1
63,rear,1,>4,0,0,1,,47,1
63,front,0,>4,0,0,1,,47,1
63,rear,1,>4,0,0,1,,47,1
63,front,0,>4,0,0,1,,47,1
64,rear,1,1,1,0,0,222,255,1
64,front,0,1,1,0,0,255,,0
64,rear,1,1,1,0,0,255,,0
64,front,0,1,1,0,0,52,78,1
65,rear,1,1,1,0,0,187,217,1
65,front,0,1,1,0,0,148,187,1
65,rear,1,1,1,0,0,297,,0
65,front,0,1,1,0,0,187,217,1
66,rear,1,2-4,0,1,0,272,,0
66,front,0,2-4,0,1,0,34,64,1
66,rear,1,2-4,0,1,0,34,64,1
66,front,0,2-4,0,1,0,204,244,1
67,rear,1,2-4,0,1,0,230,,0
67,front,0,2-4,0,1,0,230,,0
67,rear,1,2-4,0,1,0,230,,0
67,front,0,2-4,0,1,0,230,,0
68,rear,1,2-4,0,1,0,329,,0
68,front,0,2-4,0,1,0,329,,0
68,rear,1,2-4,0,1,0,329,,0
68,front,0,2-4,0,1,0,148,183,1
69,rear,1,2-4,0,1,0,172,235,1
69,front,0,2-4,0,1,0,291,,0
69,rear,1,2-4,0,1,0,291,,0
69,front,0,2-4,0,1,0,291,,0
70,rear,1,1,1,0,0,41,73,1
70,front,0,1,1,0,0,41,73,1
70,rear,1,1,1,0,0,41,73,1
70,front,0,1,1,0,0,41,73,1
71,rear,1,>4,0,0,1,38,66,1
71,front,0,>4,0,0,1,38,66,1
71,rear,1,>4,0,0,1,38,66,1
71,front,0,>4,0,0,1,38,66,1
72,rear,1,1,1,0,0,167,195,1
72,front,0,1,1,0,0,266,300,1
72,rear,1,1,1,0,0,20,44,1
72,front,0,1,1,0,0,300,,0
73,rear,1,1,1,0,0,,48,1
73,front,0,1,1,0,0,266,293,1
73,rear,1,1,1,0,0,266,293,1
73,front,0,1,1,0,0,77,126,1
74,rear,1,1,1,0,0,240,,0
74,front,0,1,1,0,0,240,,0
74,rear,1,1,1,0,0,240,,0
74,front,0,1,1,0,0,240,,0
75,rear,1,1,1,0,0,304,,0
75,front,0,1,1,0,0,28,62,1
75,rear,1,1,1,0,0,28,62,1
75,front,0,1,1,0,0,304,,0
76,rear,1,1,1,0,0,32,67,1
76,front,0,1,1,0,0,32,67,1
76,rear,1,1,1,0,0,32,67,1
76,front,0,1,1,0,0,32,67,1
77,rear,1,2-4,0,1,0,28,62,1
77,front,0,2-4,0,1,0,148,184,1
77,rear,1,2-4,0,1,0,241,272,1
77,front,0,2-4,0,1,0,118,148,1
78,rear,1,2-4,0,1,0,47,77,1
78,front,0,2-4,0,1,0,313,,0
78,rear,1,2-4,0,1,0,313,,0
78,front,0,2-4,0,1,0,124,163,1
79,rear,1,>4,0,0,1,162,188,1
79,front,0,>4,0,0,1,72,134,1
79,rear,1,>4,0,0,1,72,134,1
79,front,0,>4,0,0,1,72,134,1
80,rear,1,2-4,0,1,0,170,226,1
80,front,0,2-4,0,1,0,73,107,1
80,rear,1,2-4,0,1,0,19,44,1
80,front,0,2-4,0,1,0,226,261,1
81,rear,1,>4,0,0,1,137,168,1
81,front,0,>4,0,0,1,137,168,1
81,rear,1,>4,0,0,1,48,104,1
81,front,0,>4,0,0,1,137,168,1
82,rear,1,2-4,0,1,0,35,98,1
82,front,0,2-4,0,1,0,35,98,1
82,rear,1,2-4,0,1,0,,35,1
82,front,0,2-4,0,1,0,35,98,1
83,rear,1,2-4,0,1,0,73,98,1
83,front,0,2-4,0,1,0,194,229,1
83,rear,1,2-4,0,1,0,292,,0
83,front,0,2-4,0,1,0,194,229,1
84,rear,1,2-4,0,1,0,259,316,1
84,front,0,2-4,0,1,0,162,189,1
84,rear,1,2-4,0,1,0,22,46,1
84,front,0,2-4,0,1,0,259,316,1
85,rear,1,1,1,0,0,21,47,1
85,front,0,1,1,0,0,21,47,1
85,rear,1,1,1,0,0,21,47,1
85,front,0,1,1,0,0,21,47,1
86,rear,1,2-4,0,1,0,44,71,1
86,front,0,2-4,0,1,0,44,71,1
86,rear,1,2-4,0,1,0,44,71,1
86,front,0,2-4,0,1,0,44,71,1
87,rear,1,1,1,0,0,25,56,1
87,front,0,1,1,0,0,201,231,1
87,rear,1,1,1,0,0,25,56,1
87,front,0,1,1,0,0,25,56,1
88,rear,1,2-4,0,1,0,207,270,1
88,front,0,2-4,0,1,0,173,207,1
88,rear,1,2-4,0,1,0,144,173,1
88,front,0,2-4,0,1,0,326,,0
89,rear,1,1,1,0,0,204,234,1
89,front,0,1,1,0,0,110,136,1
89,rear,1,1,1,0,0,234,262,1
89,front,0,1,1,0,0,110,136,1
90,rear,1,2-4,0,1,0,130,188,1
90,front,0,2-4,0,1,0,251,,0
90,rear,1,2-4,0,1,0,64,103,1
90,front,0,2-4,0,1,0,188,215,1
91,rear,1,1,1,0,0,133,,0
91,front,0,1,1,0,0,76,101,1
91,rear,1,1,1,0,0,133,,0
91,front,0,1,1,0,0,133,,0
92,rear,1,1,1,0,0,46,88,1
92,front,0,1,1,0,0,46,88,1
92,rear,1,1,1,0,0,46,88,1
92,front,0,1,1,0,0,46,88,1
93,rear,1,1,1,0,0,103,130,1
93,front,0,1,1,0,0,103,130,1
93,rear,1,1,1,0,0,46,69,1
93,front,0,1,1,0,0,46,69,1
94,rear,1,2-4,0,1,0,86,122,1
94,front,0,2-4,0,1,0,122,154,1
94,rear,1,2-4,0,1,0,154,179,1
94,front,0,2-4,0,1,0,86,122,1
95,rear,1,2-4,0,1,0,275,307,1
95,front,0,2-4,0,1,0,38,95,1
95,rear,1,2-4,0,1,0,38,95,1
95,front,0,2-4,0,1,0,307,,0
96,rear,1,1,1,0,0,169,,0
96,front,0,1,1,0,0,169,,0
96,rear,1,1,1,0,0,169,,0
96,front,0,1,1,0,0,169,,0
97,rear,1,2-4,0,1,0,46,72,1
97,front,0,2-4,0,1,0,46,72,1
97,rear,1,2-4,0,1,0,72,107,1
97,front,0,2-4,0,1,0,46,72,1
98,rear,1,2-4,0,1,0,110,137,1
98,front,0,2-4,0,1,0,74,110,1
98,rear,1,2-4,0,1,0,74,110,1
98,front,0,2-4,0,1,0,46,74,1
99,rear,1,2-4,0,1,0,38,73,1
99,front,0,2-4,0,1,0,190,228,1
99,rear,1,2-4,0,1,0,129,157,1
99,front,0,2-4,0,1,0,73,129,1
100,rear,1,2-4,0,1,0,61,92,1
100,front,0,2-4,0,1,0,61,92,1
100,rear,1,2-4,0,1,0,61,92,1
100,front,0,2-4,0,1,0,61,92,1
